data.title,data.id,trump_loss,biden_president,election_fraud,covid,anti_trump,trump_last_month,date
"After Lecturing Trump Supporters on Masks, Jon Karl Caught Taking off His Mask Today in WH Press Briefing Room When He Thinks the Cameras Are Off",k0hwji,0,0,0,1,0,0,11.25
Only 3% of President Donald Trump voters believe that Joe Biden legitimately won the 2020 election,k0p5yb,1,0,0,0,0,0,11.25
"CNN Credits Biden for Dow Hitting 30,000 for the First Time: AIR.TV",k0tdrc,0,1,0,0,0,0,11.25
"Newsmax Calls Biden Winner in Mich., Nevada, Pa. Based on Certifications",k0tinx,0,0,1,0,0,0,11.25
We did it': Fox News owner's wife celebrated Biden's projected presidential win in a tweet,k0w69z,0,1,0,0,0,0,11.25
Trump 1st President Since Carter Not to Send Troops Into New Conflict,k0wrot,0,0,0,0,0,0,11.26
Obama takes jab at Hispanic voters for supporting Trump.,k0xloo,0,0,0,0,1,0,11.25
"Huge court win lets Trump present ballot evidence, could overturn Nevada result",k0xmvl,0,0,1,0,0,0,11.25
"Major LGBT Group Urges Biden to Strip Accreditation of Christian Schools, Colleges",k0yjr6,0,1,0,0,0,0,11.25
Keith Olbermann Unhinged — ‘We need to turn Trump Hotels into prisons for his supporters’…,k0yu2x,0,0,0,0,1,0,11.25
"Huge court win lets Trump present ballot evidence, could overturn Nevada result",k0zib6,0,0,1,0,0,0,11.25
"Huge court win lets Trump present ballot evidence, could overturn Nevada result",k0zuxz,0,0,1,0,0,0,11.25
"Audible Gasps and Laughter From Crowd and Panel at PA Hearing When Witness Says Vote “Spikes” Went 600,000 For Biden and 3,200 For Trump (VIDEO)",k1057w,1,1,0,0,1,0,11.26
BREAKING: Trump pardons former national security adviser Mike Flynn,k10qr9,0,0,0,0,0,1,11.25
"Days After Pennsylvania Tries To Certify Election – Judge Intervenes For Trump, Blocks Any Further Certification Pending Hearing",k10suc,0,0,1,0,0,0,11.25
BREAKING: Trump pardons former national security adviser Mike Flynn,k10tra,1,0,0,0,0,1,11.26
Pres. Trump pardons Mike Flynn,k114gy,0,0,0,0,0,1,11.25
"Without Evidence, Former President Obama Accuses Hispanic Trump Voters Of Bigotry",k1188p,0,0,0,0,1,0,11.26
"Huge court win lets Trump present ballot evidence, could overturn Nevada result",k11bor,0,0,1,0,0,0,11.25
Trump announces pardon of former National Security Advisor Michael Flynn,k11l8q,0,0,0,0,0,1,11.25
President Trump pardons ex-natl security adviser Michael Flynn; ends three-year legal odyssey,k11pj7,0,0,0,0,0,1,11.25
Trump Addresses Irregularities in Pennsylvania: 'We Won This Election by a Lot',k11zdw,0,0,1,0,0,0,11.25
BREAKING: Trump Pardons Former National Security Adviser Michael Flynn,k12cad,0,0,0,0,0,1,11.25
Afghan Vet Johnny Jones On Biden’s Gun Control Plan: That’ll Trigger 2022 GOP Landslide,k12jio,0,1,0,0,0,0,11.25
Obama invites avalanche of criticism with 'condescending' remarks on Hispanic Trump supporters,k12pis,0,0,0,0,1,0,11.25
BREAKING: Michael Flynn granted full pardon by President Donald Trump,k12pqx,0,0,0,0,0,1,11.25
"Alyssa Milano extends 'olive branch to Trump supporters' — and the left-wing, Trump-despising actress gets totally torched",k12qyb,0,0,0,0,0,1,11.25
Tom Cotton: Biden DHS Nominee Mayorkas Disqualified to Lead Agency for Selling Green Cards to Chinese Nationals,k12y22,0,1,0,0,0,0,11.25
"After Years Of Russia Hoax Persecutions, Trump Pardons Michael Flynn",k12ycx,0,0,0,0,0,1,11.25
Trump Legal Team Scored a Big Win in Nevada. Could It Lead to a 2020 Bombshell?,k12zj1,0,0,1,0,0,0,11.25
Trump Pardons Michael Flynn -- ‘have a truly fantastic Thanksgiving!’ -- Flynn Tweets Jeremiah 1:19: ‘they shall fight against thee; but they shall not prevail against thee’,k131h4,1,0,0,0,0,1,11.26
German Minister of Defence: President Trump was correct to pressure Germany to spend more on defense,k139fk,0,0,0,0,0,1,11.25
German Minister of Defence: President Trump was correct to pressure Germany to spend more on defense,k139fk,0,0,0,0,0,0,11.26
Biden says 'we're all in this together' as Dem politicians keep getting caught breaking coronavirus rules,k13h4j,0,0,0,1,0,0,11.26
Trump pardons former national security advisor Michael Flynn,k13unn,0,0,0,0,0,1,11.25
"Huge court win lets Trump present ballot evidence, could overturn Nevada result",k14cn1,0,0,1,0,0,0,11.25
Rep. Reschenthale: 'Premature' for Pennsylvania to Certify Election Results for Biden,k14od3,0,0,1,0,0,0,11.25
Trump: 2020 'Long Way From Over',k14p7g,1,0,0,0,0,1,11.25
Trump: 2020 'Long Way From Over',k14p7g,1,0,0,0,0,0,11.26
Obama Attacks Trump for Using Same 'Cages' at Border He Used,k14v0m,0,0,0,0,1,0,11.25
An Honest Liberal Reporter Reminds Progressives of Their Unhinged 2016 Electoral College Plot Against Trump,k1558u,0,0,0,0,1,1,11.26
Trump Calls on Supporters to Stand Tall: 'Don't Be Intimidated by These People',k16wte,1,0,0,0,0,1,11.26
"Huge court win lets Trump present ballot evidence, could overturn Nevada result",k175f3,0,0,1,0,0,1,11.26
"Tokyo residents back President Trump, say if Biden wins China wins",k17bp7,1,1,0,0,0,0,11.26
Trump Announces He Will Only Leave Office If A Challenger Beats Him In Ritual Combat,k17zpq,1,0,0,0,0,1,11.26
"Trump Exhorts Supporters: Don't Be Intimidated by Dems, Others",k18cqo,1,0,0,0,0,1,11.26
"Summary of the kraken: Sidney Powell sues Georgia officials, alleging massive scheme to rig election for Joe Biden",k1ahcn,1,0,1,0,0,0,11.26
"Huge court win lets Trump present ballot evidence, could overturn Nevada result",k1b0te,0,0,1,0,0,1,11.26
Poll: 90% of Harvard Freshmen Support Joe Biden,k1c3b7,0,1,0,0,0,0,11.26
Joe Biden is slammed for saying he will immediately push a bill for pathway to citizenship for 11 million undocumented people in America 'rather than concentrate on COVID',k1e0sd,0,1,0,1,0,0,11.26
Biden Taps Staffer Who Said Suicide Bombings Were 'Last Resort' for Palestinians,k1enjh,0,0,0,0,0,0,11.26
"Biden UN, State Dept Picks Are Documented Chinese Communist Party Consultants",k1eya6,0,1,0,0,0,0,11.26
Overstock founder says he has proof election was rigged for Biden,k1fuat,1,0,1,0,0,0,11.26
"Biden’s Pick for National Security Adviser Sent Classified Emails on Clinton’s Server, Hyped Fake Trump-Russia Collusion Story",k1fx19,0,0,0,0,0,0,11.26
"Hey look! It’s more of those dead voters that “don’t exist”. This time it’s taken up in court and doesn’t have to deal with Trump, so it might be given fair coverage.",k1g0n7,1,0,1,0,0,0,11.26
"'March for Trump' bus tour to demand 'election integrity' -- The ""March for Trump"", organized by Women for America First, will launch in Palm Beach then wind its way through 16 states, concluding Dec. 12 in Washington, D.C.",k1gfbw,1,0,0,0,0,0,11.26
"If Voters Had Known About 8 Stories Media Ignored, Trump Would Have Won, Says Media Watchdog",k1gjra,1,0,1,0,0,0,11.26
