data.title,data.id,trump_loss,biden_president,election_fraud,covid,anti_trump,trump_last_month,date
Roger Stone-linked group urges voters to write in Trump in Georgia runoffs as revenge against GOP | A fringe group of Republicans is trying to sink the GOP's Senate hopes as retaliation after Trump's loss in Georgia,k0oad4,0,0,0,0,1,0,11.25
Georgia secretary of state: My family voted for Trump. He threw us under the bus anyway.,k0pdv5,0,0,0,0,1,0,11.25
Trump's staffers are reportedly now avoiding him to stay out of legal jeopardy,k0ps90,0,0,0,0,1,0,11.25
'Flat-Out Sabotage' Already Underway as Mnuchin Tries to Put $455 Billion in Covid Funds Out of Biden Team's Reach,k0pueo,0,0,0,0,0,0,11.25
"Biden says the White House is cooperating fully with his transition, but that Trump still won't speak to him",k0qkgl,0,0,0,0,0,1,11.25
Trump Seemed to Go Along With Biden's Transition Only After Aides Told Him He Didn't Have to Admit He Lost,k0qym3,0,1,0,0,0,0,11.25
Secretary of State Brad Raffensperger releases scathing op-ed criticizing President Trump,k0rq4b,0,0,0,0,1,0,11.25
Trump's economic team accused of 'sabotaging' Biden before exiting,k0rv3j,0,1,0,0,0,0,11.25
"To Prevent 'Another Right-Wing Authoritarian' Even Worse Than Trump, Sanders Says Democrats Must Pursue Bold Working Class Agenda",k0scsk,0,0,0,0,1,0,11.25
Twitter Users Mock Melania Trump's ‘Who Gives A F**k About Christmas’ Tree,k0ss25,0,0,0,0,1,0,11.25
China’s president Xi Jinping finally congratulates Joe Biden on election win,k0ssez,0,1,0,0,0,0,11.25
"Gaetz Urges Trump To Go Wild With Pardons, Including A Self-Pardon, To Own The Libs",k0t1hf,0,0,0,0,0,1,11.25
Georgia secretary of state says Trump threw him under bus despite his support,k0tgk3,0,0,0,0,0,0,11.25
El Paso moves to collect outstanding debt from 2019 Trump campaign rally,k0tmzh,0,0,0,0,1,0,11.25
"McConnell Called Trump on Air Force One After Ginsburg Died, ‘Told’ the President ‘You’ve Gotta Nominate Amy Coney Barrett’: Report",k0tp5h,0,1,0,0,0,0,11.25
A New Jersey congressman is seeking to disbar Trump's personal attorney Rudy Giuliani after he touted election-related conspiracy theories,k0tujg,0,0,0,0,1,0,11.25
Trump to reportedly join Rudy Giuliani at Pennsylvania election event after aides 'tried talking him out of' going,k0u20u,0,0,0,0,1,0,11.25
"In refusing to acknowledge Biden win, McConnell again puts politics ahead of country",k0ucpe,0,0,0,0,1,0,11.25
Trump adviser who was with Giuliani at press conference tests positive for coronavirus,k0ujll,0,0,0,0,1,0,11.25
AOC and Ilhan Omar sign petition calling on Biden not to give Bruce Reed administration role,k0uq8x,0,1,0,0,0,0,11.25
Adam Schiff Says If Trump Pardons Flynn He'd Be 'Acting Like An Organized Crime Figure',k0urqy,0,0,0,0,0,1,11.25
Biden to receive first daily presidential briefing on Monday,k0v7l7,0,1,0,0,0,0,11.25
Fauci says he would 'absolutely' serve on a Biden coronavirus task force,k0v9ok,1,0,0,1,0,0,11.25
Prosecuting Trump is the only way to heal the nation,k0ve3q,0,0,0,1,1,0,11.25
"Trump's about to turn the GOP into one long, humiliating episode of 'The Apprentice'",k0vri0,0,0,0,0,1,0,11.25
Biden’s IRS could finally give Trump’s tax returns to Democrats,k0w03e,0,0,0,0,1,0,11.25
Rahm Emanuel doesn’t deserve a job in Biden’s administration,k0w4pc,0,1,0,0,0,0,11.25
Biden says Trump 'will go down in history as being one of the most irresponsible presidents',k0w7hg,1,1,0,0,1,0,11.26
Obama says Americans voted for Trump because Republicans cast white men as ‘victims’,k0wcwi,0,0,0,0,1,0,11.25
Trump cancels plans to attend Pennsylvania GOP event on election,k0wd4c,1,0,0,0,0,0,11.25
"Trump bails on surveillance treaty used to monitor Russia, guts program of resources",k0wmlm,0,0,0,0,0,1,11.25
"Trump’s transgender ban has harmed US military, experts find",k0wtut,0,0,0,0,0,1,11.25
Donald Trump is losing thousands of Twitter followers after election defeat,k0x6x6,1,0,0,0,1,0,11.25
"New Poll Shows 68% of Americans Want Senators to Block Any Corporate Biden Nominees | Progressives are calling on the president-elect to reject a ""Corporate Cabinet"" and instead pick ""people dedicated to working in service of the general welfare.""",k0yc64,0,1,0,0,0,0,11.25
Scarborough says he'll never return to Republican party after GOP supported Trump,k0ysz6,0,0,0,0,1,0,11.25
"In an apparent dig at the Trump administration, Obama says Biden's foreign policy team will 'know where countries are'",k0zcp6,0,0,0,0,1,0,11.25
'Biff is president': Michael J. Fox says Trump has played on 'every worst instinct in mankind',k0zcsn,0,0,0,0,0,0,11.25
Trump campaign sued for attempting to disenfranchise Black voters,k0zes8,0,0,0,0,1,0,11.25
"Trump Knows His Lawsuits Don’t Stand a Chance, But He’s Using Them to Raise Money for His Next Move",k0zjrf,0,0,0,0,0,1,11.25
"'Truly Grotesque': On Way Out the Door, Trump Prioritizes Bringing Back Executions by Firing Squad and Electrocution",k0zoxm,0,0,0,0,0,1,11.25
"‘We’re at war with the virus, not with one another’: Biden delivers Thanksgiving address as nation reels from coronavirus",k0zt1g,0,0,0,1,0,0,11.25
Trump demands election results ‘overturned’ and claims GOP poll watchers ‘treated like a dog’,k0zwpq,0,0,1,0,0,0,11.25
Trump's Tweets Attacking the Election Echo Russian Trolls,k10by4,0,0,0,0,1,0,11.25
Bernie Sanders Criticizes Trump for Touting Dow Record as Millions of Americans Won't Have Enough Food on Thanksgiving,k10g9z,0,0,0,0,1,0,11.25
"Mnuchin clawback may “sabotage” Biden by blocking $455B in COVID-19 funds — it may also be “illegal”. A watchdog says Mnuchin’s move violated the Cares Act. Democrats call it downright ""corrupt""",k10zvu,1,1,0,1,0,0,11.26
Megathread: President Donald Trump Pardons General Michael Flynn,k114eb,0,0,0,0,0,1,11.25
"Trump calls into Pennsylvania hearing, rambles about voter fraud on speakerphone",k115zd,0,0,0,0,1,0,11.25
DOJ Is Still Trying to Defend Trump Against Rape Accuser E. Jean Carroll’s Lawsuit During Lame-Duck Session,k11o5n,0,0,0,0,1,0,11.25
Trump Complains On Speakerphone To PA GOP That No One Will 'Overturn' Election For Him,k11x1z,1,1,0,0,0,1,11.25
Mueller prosecutor says next attorney general should investigate Trump,k11y4x,0,0,0,0,1,0,11.25
"Pennsylvania AG and Lt. Gov blast Trump, ""fake"" GOP election hearing: ""devoid of reality""",k12bmp,0,0,1,0,0,0,11.25
Trump’s Lawyers Just Performed Another Embarrassing “Election Fraud” Show,k12fkx,0,0,1,0,0,0,11.25
"Trump suddenly irrelevant, Biden steals Thanksgiving spotlight with call for unity",k12qwf,0,1,0,1,0,0,11.25
"House Democrats seek list of Trump appointees ""burrowing in"" to Biden administration",k12s6a,0,1,0,0,0,0,11.25
Almost everything Trump said at a Republican event in Pennsylvania about the election was a lie or a conspiracy theory,k13ard,1,0,1,0,1,1,11.26
"Trump’s hopes sputter to end in Michigan. ‘It’s over, and they know it.’",k13c26,1,0,0,0,0,0,11.25
Ocasio-Cortez doubles down on Biden keeping Emanuel out for 'covering up a murder',k13uia,0,1,0,0,0,0,11.25
Trump takes his fraud claims to a hotel ballroom — by phone,k14dck,0,0,0,0,1,0,11.25
Biden Would Be a Fool Not to Break Up Huge Food Conglomerates: His rural support might depend on it.,k14n97,0,1,0,0,0,0,11.25
"Biden Urges Unity: ‘We’re at War With the Virus, Not With One Another’ | In an emotional address, he pleaded with Americans to “hang on” and cited the death of his son to say that he understood the loss in the nation.",k14nh7,0,0,0,1,0,0,11.25
Belarus' President-in-Exile Urges Joe Biden to Help Topple Putin-Backed Dictatorship,k14z7f,0,1,0,0,0,0,11.25
Biden And Trump Offer Jarring Contrast Minutes Apart On Thanksgiving Eve,k151f6,0,1,0,0,0,0,11.25
Biden steps into leadership vacuum to reassure Americans with Thanksgiving address,k159g5,0,1,0,0,0,0,11.25
Trump Literally Phones It in for Voter Fraud ‘Hearing’ as He Frets Privately About Prosecutors Ready to Pounce,k15i5z,1,0,1,0,1,1,11.26
‘Absolutely No Allegations of Any Fraud’: Pa. Court Rejects Trump Campaign’s Appeal Over 69 Mail-In Ballots,k15yeb,0,0,1,0,0,0,11.25
Steve Schmidt: ‘We’ve entered the corrupt pardon phase of the Trump coup’,k16as8,0,0,0,0,1,0,11.26
Giuliani thinks Trump ‘may have won Virginia’ despite Biden winning state by nearly half a million votes,k17277,1,0,0,0,0,0,11.26
"Over 30 Trump Campaign Lawsuits Have Failed. Some Rulings Are Scathing. As President Trump continues to litigate the 2020 election, some judges have lost all patience. Here are some excerpts of their rulings.",k178xy,1,0,1,0,0,1,11.26
Pro-Trump Group Donor Sues Over Failure to Expose Election Fraud,k17xny,1,0,1,0,1,0,11.26
'Wounded' Trump caves on Biden transition as allies abandon him,k18fep,0,0,0,0,0,0,11.26
"El Paso lawyered up to try and collect $570,000 owed to the city by the Trump campaign from a rally 2 years ago",k1as4m,1,0,0,0,1,0,11.26
Representatives for 'Tiger King's' Joe Exotic are said to be chasing Trump down for a pardon and spending thousands of dollars to get it,k1at5v,0,0,0,0,1,0,11.26
Trump urges Americans to ‘gather’ for Thanksgiving in direct contradiction of official Covid guidance,k1ca3s,0,0,0,1,0,1,11.26
Trump Retweets Rep. Matt Gaetz Urging Him to Pardon Himself,k1cb5e,1,0,0,0,0,1,11.26
Obama says lives could have been saved if Trump hadn't disbanded pandemic response unit,k1cko2,0,0,0,1,1,0,11.26
Donald Trump Is the Ultimate Super-Spreader | Trump didn’t merely bungle this country’s pandemic response; he stoked the flames of this third and largest surge.,k1cwkm,0,0,0,1,1,0,11.26
"Trump's inner circle is telling him that Giuliani and the rest of his legal team are making him look like an idiot, report says",k1dokd,1,0,0,0,0,0,11.26
Donor Sues Pro-Trump Group for $2.5 Million for Failing to Prove Voter Fraud,k1dsa2,1,0,1,0,1,0,11.26
Obama says Republicans won votes for Trump by wrongly framing white men as victims,k1e6ky,0,0,0,0,1,0,11.26
Trump retweets congressman urging him to pardon himself,k1e7r8,1,0,0,0,0,1,11.26
Donald Trump Retweets Call to Pardon Himself,k1en3v,1,0,0,0,0,1,11.26
"Want to Be Like FDR, Joe Biden? Make Your Thanksgiving Proclamations Rallying Cries - The 32nd president used every tool—even Thanksgiving Proclamations—to promote a moral vision for social and economic justice. Biden should do the same.",k1eqs1,0,1,0,0,0,0,11.26
Obama says Republicans portrayed white men as ‘victims’ to win votes for Trump,k1exsn,0,0,0,0,1,0,11.26
Trump’s conspiracies have MAGA world talking Georgia boycott,k1ezlz,0,0,0,0,1,1,11.26
Mueller prosecutor says Trump should be investigated and face charges after leaving office,k1fhlv,0,0,0,0,1,0,11.26
Biden predicted a GOP 'epiphany' after the election. Trump's standing in the way.,k1fqxm,0,1,0,0,1,0,11.26
"Trump shares tweet saying he should pardon himself, rest of his admin",k1fxbr,1,0,0,0,0,1,11.26
"Ex-Trump lawyer Sidney Powell files typo-filled lawsuits in Michigan, Georgia",k1g08g,1,0,0,0,1,0,11.26
Pranksters have claimed a Trump 2024 campaign website domain which labels Trump a 'loser',k1g099,1,0,0,0,1,0,11.26
They're baaack: Trump and allies still refuse election loss,k1g86b,1,0,1,0,0,1,11.26
Donor sues pro-Trump group over failure to prove voter fraud: 'Empty promises',k1ghc7,1,0,1,0,1,0,11.26
Biden to face test over access to sensitive information as he inherits Trump's secret server,k1gsph,0,1,0,0,0,0,11.26
Indian country showed up to beat Trump. How can you show up for Indian country?,k1gtvp,1,0,0,0,1,0,11.26
Bidens Highlight 'Sacrifice' of Staying Home for Thanksgiving While Trump Urges Americans to Gather,k1guvu,0,1,0,1,0,1,11.26
Trump’s baseless election fraud claims in Georgia turn Senate runoffs into a ‘high-wire act’ for Republicans,k1gw51,1,0,1,0,1,0,11.26
Secluded and deluded: Trump’s post-election actions show a mad-monarch mindset,k1gz8v,0,0,0,0,1,1,11.26
"Trump’s Thanksgiving Message Urges People To ‘Gather,’ Despite Raging Pandemic",k1gz8z,0,0,0,1,0,1,11.26
"Trump Races to Weaken Environmental and Worker Protections, and Implement Other Last-Minute Policies, Before Jan. 20",k1h61e,0,0,0,0,0,1,11.26
